comment,stars,verified,date,country,helpful,has-media
"I bought this for the Nintendo Switch but what made me really love it was in flight entertainment.  It declutters your whole flight experience; less hassle with the trays, meals, people getting up to go to the bathroom, etc. It's small and light enough that I just leave it dangling by the audio cord (in flight or on the Switch.)The battery lasts longer than my bluetooth headphones plus it can charge while operating so battery life isn't an issue.",5,1,2018-7-31,1,5,1
"I'd say this is the best Bluetooth TX/RX model you can get right now.  Much more reliable than many others I have tried.  The model can both transmit and receive.  In reality people will use the receive mode most often (e.g. in an older car or older hifi that cannot receive bluetooth).  Or if you have a new iphone that you want to use with existing non-bluetooth headphones.  Transmit will most likely be used in aeroplanes (if you want to use your own bluetooth headphones rather than the ones provided by the airline) or perhaps if you have like a very old iPod without bluetooth that you would like to connect to a bluetooth speaker.Pairing is comparatively simple.  Note that the device clears its entire pairing history every time you flip the RX/TX (receive/transmit) switch to the other side.  Pairing the TX(transmit) mode is perhaps more difficult because you will typically be pairing with a BT headphone or speaker.  Once pairing is activated, the TaoTronics will pair with the ""closest"" BT device.  In reality I guess it just pairs with the strongest audio-capable BT signal it can find.  So if there are plenty of BT devices around it could in theory pair with the wrong device, but you'll know when you got it right.  I would recommend that you try to pair with your headphones in a space away from other BT noise to keep things simple.  For example, I once tried to pair the TaoTronics to my BT headphones without success... until I realized it kept pairing with my TV's soundbar in the room next door :)  Moving away solved the problem.  Of course, once paired, everything will work fine until you flip the RX/TX switch (which you're unlikely to do often).",5,1,2018-7-5,1,3,0
"I wanted a bluetooth transmitter for my non-bluetooth Samsung smart TV so I can use bluetooth earbuds. I already have a Sony bluetooth transmitter that has the over-the-ear headsets which work fine, just wanted the option for smaller, less outside sound inhibiting earphones so I can still hear what's going on around me if I want. The TT-BA-07 is small, light and easy to set up, once I figured out how to pair it to my LG earbuds. It recognizes my earbuds every time I turn the transmitter on, so I don't have to pair it every time. Con features: very short (6“)3.5 mm cord for using off the back of a TV audio jack. I purchased a longer cord to connect with the transmitter to the TV.  It also comes with a very short (12“) charging cable, so I purchased a longer compatible charging extension for it so I can keep it charged all the time rather than charge it every 10 hours. I am pleased with this small, but powerful device. I would recommend it.",5,1,2018-5-26,1,2,0
"This is little device is great! I live with my sister and her fiance and they live in the basement room directly under me, and unfortunately my stereo is on the other side of the room and I often want to fall asleep while listening to vinyl but can't. But this little beast really comes in clear. I do hear some machine sounding stuff here and there but honestly I don't mind. If you happen to be a snobbish audiophile or have a fear of spontaneously developing tinnitus don't buy this. You'll just leave a 1 star review because you can hear that background noise or it'll be the one thing that pushes you over the edge into that psychotic break that's been building up. Happy listening!Now when I get stoned at 4 in the morning and wanna listen to Behemoth I won't bother my family (like now for instance). Thanks Amazon!",5,1,2020-5-19,1,1,1
"This is an inexpensive little bluetooth receiver/transmitter that will allow you to turn a device without bluetooth into one with it.  I used it along with a little RCA switcher to connect several audio sources to a bluetooth speaker in my apartment.  It worked as described.  It's simple to use, though you will need to read the directions to figure out how to control it with its single button.  It is best used when paired up with a single device, because the controls don't allow for easy switching around.  When you turn it on by holding down the button, it just looks for the last thing it was paired with.  Which was fine for my purposes, but if you want to move between speakers like you could with a phone easily, I'd suggest something else.But this thing did what it promised and has done it very well, so I give it 5/5.",5,1,2020-6-2,1,1,1
I was really surprised when it came that it was really small but worked great I personally use it with my AirPods and Nintendo switch lite so if your buying it for that I would recommend!,5,1,2020-5-19,1,1,1
"My wife and I don’t watch TV at home, aside from streaming things occasionally. But when we travel, she always  watches TV in the hotel room. I’m usually trying to read and get distracted by the noise.  Finally decided to pick these up and try them out... and they’re great! She can listen on her nice headphones “probably better quality audio than the TV speaker), and I don’t have to listen... and if I want to, i can pair my earphones to it, too (and they’re definitely better quality than a hotel tv.)The only complaint I have are that some hotel TVs don’t have audio-out jacks, some have digital-only ones so this won’t work, and some either don’t have USB jacks or the jacks don’t provide power.",5,1,2019-3-29,1,2,0
This little device is the Best Buy I've ever bought in electronics. It plugged right into my TV I put it on transmitted and I can put on my Bluetooth earphones and listen to my TV to all hours of the night without disturbing anybody.. was really surprised me is that it also has a receiver mode so I can hook it to my Bluetooth speakers add easily transmit songs from my phone or any other MP3 or music device I have. It is a no-brainer by don't buy anything more expensive you don't need it. I was also very surprised how long the charge last on the rechargeable battery inside. When the device was totally dead it charged in a matter of less than 3 hours. My Bluetooth headphones took longer. My neighbors love it better than I do cuz they don't have to hear any loud music or TV at night.,5,1,2018-12-22,1,5,0
This works like a charm on flights. Paired with both AirPods and Jabra 75t Elite. You won’t regret purchasing them.,5,1,2020-2-24,1,1,1
"I've wanted a device like this for an older TV (without built-in bluetooth) but I was afraid that there would be a lag between the picture and the sound. When I first started looking for devices like this a couple of years ago many of the reviews talked about this problem. I know there is an adjustment in the TV settings for this issue but I was hoping it would work without having to do any of that. This transmitter works perfecty. I did have just a little problem understanding how to pair the TaoTronics headphones I recently purchased with this transmitter, but once I understood the steps it was easy. I've successfully connected other headphones and I have and even connected this transmitter with the streamer for my hearing aids. Watching TV and hearing the sound through my hearing aids is great.I will be purchasing another one of these devices for a second older TV.",5,1,2019-4-16,1,2,0
"As a frequent flier I bought a pair of AirPods Pro hoping to finally leave my bulky Bose QC behind. I quickly realized that if I wanted to use my Nintendo Switch, the inflight entertainment system, etc I wouldn’t be able to since they require a wired connection.  This Bluetooth TX/RX helped solve that problem.  Paired it up with my AirPods Pro and now can leave the Bose behind.  I was a little worried that maybe there would be latency/sync issues.  In the videos I have played and the games I have tried on my switch it is imperceptible.  The device is super light weight and compact as well.  I attached some photos to show the scale.",5,1,2019-11-21,1,1,1
"Connected the transmitter the night I got it & it worked fine, second night it would not pair with my wireless headphones. Check to see if my headphones were working okay, & it connected to my cell with no problems. I tried again to pair with my headphones & still did not connect. Returning & trying a different brand. Will not buy this brand again.",1,1,2018-5-5,1,2,0
"I love this device. Had some volume issues at first, but don't know whether it was the fault of the device or me. Probably the latter.Once I got the transmitter to work with my Bluetooth headphones, it has become a great joy to use. I can plug the device into the audio output jack of any audio device, whether it is Bluetooth capable or not, and I'm good to go. Does your computer have Bluetooth? Is it on? Does it require you to use a user interface to look up devices you want to pair with? None of that matters if you use this little device. Pair it once with your Bluetooth headphones. Plug it into any device you want to hear audio from. Bam. You're done. Computer. Amazon Echo. Amazon Fire tablet. TV. Phone. If it has an audio output jack that will accommodate an included audio cable, then you're golden. Keep the transmitter in transmit mode, and it will remember your headphones every time you turn them both on.",5,1,2020-4-8,1,3,0
"I think this is a really good product. I was able to link this transmitter to my in ear monitors flawlessly. I used the transmitter plugged into headphones and linked it to my phone and it worked great, very easy to set up But,unfortunately I'm going to have to send it back.I am a drummer /keyboard player. I bought this transmitter to plug into the headphone out of my small stage drum mixer so that I could bluetooth the mix to my in ear monitors and eliminate the cord from in ears to mixer. The transmitter linked easily but when I hit a drum there was way to much latency.If I hit the kick there was a delay before I heard the sound. While listening to a song on my phone wouldn't expose this latency,trying to play an instrument with a delay isn't acceptable. I was bummed because I really wanted this to work for the stage.",4,1,2018-4-27,1,3,0
"This product works amazingly!  I bought this in a last-ditch attempt to ""convert"" my car radio into a BT-enabled set up.  I love my car radio; it has a lot of options I love, just not BT.Pros:",4,1,2018-10-29,1,3,0
"I bought my dad a 4K LG Smart TV for Christmas one year and a pair of Bluetooth headphones the following year so he could hear his tv from his desk at the back of the family room. The problem was that the tv did not have Bluetooth transmitting capability, so I purchased this little device to fix the problem. Low and behold, the only output on the tv for sound would not work for this device, but thankfully the cable box saved the day. Now he can listen to his football game from the back of the room without the rest of us in the house having to hear it as well!",5,1,2018-6-3,1,8,0
"I got two of these and personally measured their sound latency in receive mode when paired with a known-good aptX Low Latency transmitter - both are consistently around 200ms (aptX LL should be 30-50ish).  I have personally verified my transmitter is aptX LL compatible with two other separate aptX LL devices.  But these are not and it's highly misleading that they title says they are (my guess is it might work as a LL transmitter but I didn't test that because it's not why I bought these).  I'm returning mine.  Do not buy if you need a low latency receiver!(For what it's worth, I verified the TROND brand device with exactly the same shape and design IS an aptX LL compatible receiver and I'll be keeping that one).",1,1,2019-9-21,1,1,0
This transmitter works great for me. I have Iphone 7 and since they eliminated the 3.5 jack (which is sucks) I need a bluetooth transmitter for my phone if I want to drive while listening to my music and charge my phone at the same time. it is really easy to instal. just plug it in to the AUX-IN jack on your car and plug the charger in. you would have to press and hold the on and off button for a while until the light turn blue so it can be connected with your phone. you just need to set up one time only and after that just press and hold the on off button and it will automatically connects to your phone. I carry this with me everywhere from speaker to car to headphone.,5,1,2018-5-7,1,7,0
"I bought this to send alerts from a Uniden radar detector to a Cardo headset in my motorcycle helmet.  The unit is very small, looks well made, and I thought it would work perfectly. Unfortunately, there were a couple of problems. First, I had a heck of a time getting the unit to pair with my headset. This is unusual as I have paired phones, GPS units, and a BMW motorcycle’s audio system to the Cardo without any problem. After finally getting it to link, I discovered that the unit would not transmit correctly if it is being externally powered. On battery only, I can hear the radar detector’s output perfectly. With power connected, the sound is distorted terribly if it’s audible at all. I would not recommend this device.UPDATE:  I determined that the problem with transmitting while connected to power was caused by a ground loop. Not the TaoTronics’ fault. If you are not using it in a vehicle, this will not likely be an issue. If it is, get a ground loop isolator. As far as pairing goes, I still find this unit more picky about pairing than others, but I did get it paired, and once done, the sound was very good. I should also mention that the seller of this item has contacted me every day since I posted the original review with suggestions and offers to help. If they are this conscientious with product support, then all good. Upgrading my review from 2 stars to 4.",4,1,2018-8-5,1,1,0
"I have a number of quality TaoTronics products and have enjoyed them without troubling problems to figure out or fix.  This is why I became so disappointed with this Bluetooth Transmitter device.My Transmitter worked for about a month or so and then started having difficulties pairing and now, it is completely not willing to pair and transmit with any enabled device.  In my case, this was the whole reason for the purchase.",1,1,2019-7-9,1,9,0
Didn't work out of the box... wouldn't charge so item was completely useless. Tried charging for several hours (documentation said charge for 2) and still didn't work. Since the item has generally high rating I'll give it another shot once the refund is processed and will adjust rating if new one lives up to expectations.,1,1,2018-6-5,1,1,0
"Surprisingly small and compact but I purchased this to watch/listen wireless to movies and play video games and there is a noticeable latency between what's happening on screen and when you hear it. My experience is from 4-5 feet away (from transmitter to my headset). If I had to guess, the latency is between 0.25 and 0.5 seconds so, if you're watching a movie, the lip syncing will be off and can be distracting.Now with that being said, if you plan on using this to just listen, this is an exceptional product. Sound quality is good, it's small and durable, and it's easy to use.",3,1,2018-8-26,1,1,1
"The TaoTronics Bluetooth Transmitter TT-BA07 works great with my TaoTronics Bluetooth Headphones TT-BH20.  To get them to pair (connect)  I plugged my headphones in to the wall socket with my charge chord like I always do when I am ready to charge them.  Then I pressed the pair button (the triangle) and they flashed blue and red--pairing mode.  Then I turned on my transmitter by pressing and holding the on button for 5 seconds or less.  The transmitter flashed blue and red and then paired with my headphones immediately.  After that, I unplugged my headphones from the wall.  Then I found the 3.5 mm cable for the transmitter and put that on.  I plugged the transmitter into the 3.5 mm headphone jack at the back of my TV and was able to hear the sound instantly.  I also plugged the charging cable into the transmitter (the one that came in the box) and plugged it into the USB port at the back of my TV.  This will keep it charged.",4,1,2018-5-1,1,9,0
"UPDATE: April 23, 2020:  from 3 stars to 4 stars.Reason: TaoTronics offered me a free pair of TaoTronics TT-BH085 noise cancelling headphones and a $30 gift card after posting a 3 star review for customer satisfaction. After shipping the headphones, I was asked to either sweeten or delete this review. I chose to improve it to 4 stars for providing outstanding customer service. Those headphones, and these transmitters, are great, but not perfect.",4,1,2019-11-25,1,6,0
"Used this to make an older Samsung tv bluetooth compatible with a tower speaker across a room for grandparents.  Struggle a bit then read some reviews on amazon; and one suggested plugging it into the cable box; worked like a dream.  The whole room of people lit up on Thanksgiving when the sound started coming from across the room!  We used it in transmit mode on the cable box with the red and white plugs female ends on the box and the USB charging cable plugged in all the time so grandparents won't have to worry about dead batteries.  Shipping was well packed and came exactly when we expected.  Would buy again; one for us to use on airplanes, etc.",5,1,2018-11-29,1,1,0
"I recently bought a new car that doesn't have an AUX port.  I have a new car, but I still have all of my music on my iPod Classic which I always played through my old car's AUX port.  Now that I have only bluetooth in the car, I needed to find a way to transmit bluetooth from my old iPod.  I thought this unit would be just the thing, but I could not get it to connect as a transmitter to any of my bluetooth devices (not my car, not my Galaxy tablet, not my Samsung Note 8).  I sent it back.I want to add that the seller was terrific and tried to solve the problem with me.  I recommend the seller, and the product may work great as a receiver, but it didn't work at all as a transmitter for me.",1,1,2018-9-24,1,2,0
There is a high pitched noise that comes out of the speakers when paired with this device. It is most definitely the device making the noise because it does not make the noise when the speakers are connected to my phone. We are very disappointed since this adapter had such good reviews.,1,1,2018-11-27,1,2,0
"In my role, I travel almost weekly. Sometimes the airlines selection is worth trying. I don't like being corded to the seat like a Borg, so I try to do as many wireless connections as possible. My tablet, phone, etc have bluetooth, but what do you do about the seatback screens?? You get this little jewel. The size and cable lengths make it the perfect companion for anyone traveling and wanting to use the available entertainment. For me, I carry a BT collar, so the TaoTronics piece fits right in that case. It pairs easily and I have paired it with that collar, a Bose QC and a Bose SoundLink (for work application). Sometimes you have to repair it when you move from one device to another, but it is no big deal as pairing is a snap. I tried it out for a few weeks and it performed so well, I got another one for the missus. She thoroughly enjoys hers and uses a Bose QC as well. It is truly a must have on cross country flights when you are using the airline's feeds and ports. I now only carry one pair of corded buds-and that is for actual calls. Otherwise, if I need a hit a port and go BT, this is THE WAY TO GO!! Charging is a snap, too. I have never run this down all the way, but I have only been on 5-6 hour flights and it takes less than an hour to bring this back to full.One downside is a bit of a noise if you try to charge it while using it on the plane. Think it is picking up on the noise on the plane's power feeds.",5,1,2019-3-28,1,3,0
Update:8/18/18,5,1,2018-7-16,1,8,0
"I hate this thing so much.After spending hours trying to sync it with your earbuds it will suddenly start working flawlessly, convincing you that it was user error all along, only to stop working again a day later for no reason.",1,1,2020-3-10,1,5,0
easy to understand instructions and using for the first time. Unfortunately there was so much static that I was unable to watch television shows and movies without continuous interruption. I will be returning and searching for a new product,1,1,2018-8-8,1,1,0
"It does exactly what you need it to do, so 4 stars there. Unfortunately there's no way to check the battery, so I get to be surprised as I drive home sometimes and it just stops working. Then if I plug it into my car, I get that great hissing as the battery is being charged while emitting sound. For this reason I occasionally bring it into my house to charge when I get home, but that's only if I remember. The killer is when you're unsure how much battery life it has before you go on a long drive and, well, just hope you didn't forget to charge it I guess.This would be a 5/5 product if there was any indicator on it of battery life. A small, LCD bar would have been perfect.",4,1,2018-12-12,1,7,0
