,review,stars
11,"['well', 'well', 'got', 'laptop', 'thinking', 'bank', 'dual', 'channel', 'memory', 'flexibility', 'NOT_it', 'come', 'standard', 'gb', 'board', 'free', 'slot', 'add', 'extra', 'gb', 'gb', 'mhz', 'although', 'work', 'mhz', 'ddr', 'old', 'laptop', 'also', 'added', 'tb', 'ssd', 'storage', 'power', 'plug', 'kinda', 'flimsy', 'fragile', 'NOT_microsd', 'card', 'slot', 'limited', 'bios', 'selection', 'tested', 'graphic', 'running', 'plane', 'flight', 'simulator', 'far', 'impressive', 'compared', 'old', 'dell', 'inspirion', 'remember', 'big', 'difference', 'ryzen', 'core', 'ryzen', 'core', 'bad', 'gpu', 'memory', 'mb', 'vram']",3
19,"['im', 'sorry', 'im', 'going', 'demerit', 'rating', 'bit', 'purchased', 'three', 'pc', 'laptop', 'clinic', 'external', 'use', 'NOT_for', 'patient', 'data', 'took', 'two', 'hour', 'set', 'put', 'three', 'countertop', 'went', 'one', 'always', 'there', 'always', 'irritation', 'work', 'around', 'setting', 'computer', 'worst', 'one', 'yet', 'ensure', 'NOT_connect', 'internet', 'setup', 'must', 'absolutely', 'sign', 'microsoft', 'account', 'create', 'another', 'one', 'completely', 'removed', 'create', 'local', 'account', 'traditional', 'way', 'log', 'entered', 'wireless', 'network', 'info', 'unplug', 'modem', 'restart', 'computer', 'start', 'set', 'NOT_way', 'back', 'network', 'entry', 'section', 'terrible', 'removed', 'option', 'choose', 'local', 'account', 'reasoning', 'simply', 'control', 'computing', 'experience', 'personal', 'use', 'may', 'okay', 'corporate', 'use', 'NOT_chance', 'security', 'problem', 'incredible', 'setup', 'youre', 'going', 'get', 'sued', 'ordeal', 'window', 'set', 'first', 'thing', 'always', 'install', 'google', 'chrome', 'make', 'default', 'well', 'm', 'made', 'practically', 'impossible', 'there', 'standard', 'window', 'mode', 'edition', 'purportedly', 'prevent', 'installing', 'unauthorized', 'content', 'save', 'computer', 'nonsense', 'way', 'ensure', 'everyone', 'us', 'crappy', 'm', 'edge', 'browser', 'browser', 'always', 'sucked', 'browser', 'currently', 'suck', 'browser', 'always', 'suck', 'thats', 'people', 'get', 'rid', 'force', 'use', 'download', 'app', 'turn', 'm', 'mode', 'm', 'make', 'publishes', 'would', 'fine', 'window', 'us', 'digital', 'copy', 'instead', 'key', 'digital', 'license', 'guessed', 'could', 'NOT_be', 'verified', 'yep', 'several', 'restarts', 'update', 'bologna', 'finally', 'able', 'install', 'mode', 'bypass', 'could', 'download', 'chrome', 'there', 'bloatware', 'much', 'packaged', 'window', 'bloat', 'NOT_want', 'employee', 'play', 'number', 'game', 'waste', 'time', 'unproductive', 'process', 'yet', 'really', 'dive', 'computer', 'superficially', 'look', 'fine']",3
43,"['wanted', 'love', 'laptop', 'outstanding', 'bargain', 'far', 'best', 'price', 'range', 'elegant', 'well', 'equipped', 'price', 'good', 'display', 'expandable', 'room', 'memory', 'additional', 'ssd', 'cheap', 'trouble', 'touchpad', 'required', 'tap', 'v', 'click', 'return', 'horrible', 'window', 'us', 'software', 'microsoft', 'store', 'spent', 'hour', 'trying', 'switch', 'real', 'window', 'home', 'supposedly', 'easy', 'im', 'pretty', 'technically', 'qualified', 'although', 'switch', 'first', 'window', 'update', 'switched', 'back', 'irrevocably', 'NOT_usable', 'much', 'web', 'browsing']",3
56,"['see', 'people', 'buying', 'ryzen', 'version', 'however', 'unless', 'bought', 'ryzen', 'version', 'discount', 'prime', 'day', 'version', 'cost', 'extra', 'offer', 'much', 'better', 'value', 'ever', 'upgrade', 'ram', 'gb', 'graphic', 'lock', 'dedicated', 'gb', 'gb', 'system', 'NOT_adjustable', 'NOT_the', 'case', 'grab', 'whats', 'needed', 'half', 'gig', 'time']",3
63,"['nice', 'laptop', 'price', 'easy', 'upgrade', 'ram', 'add', 'second', 'hard', 'drive', 'converting', 'window', 'mode', 'home', 'also', 'easy', 'decide', 'order', 'second', 'hard', 'drive', 'upgrade', 'aware', 'must', 'order', 'drive', 'mm', 'thick', 'originally', 'ordered', 'tb', 'mechanical', 'drive', 'install', 'based', 'amazon', 'recommendation', 'mm', 'drive', 'acer', 'website', 'clearly', 'indicates', 'laptop', 'support', 'mm', 'secondary', 'drive', 'ended', 'installing', 'mm', 'ssd', 'additional', 'gb', 'ram', 'blazing', 'fast', 'highly', 'recommend', 'laptop', 'update']",3
78,"['decent', 'laptop', 'price', 'good', 'battery', 'life', 'nice', 'quick', 'want', 'say', 'gripe', 'machine', 'though']",3
80,"['initially', 'satisfied', 'purchase', 'machine', 'great', 'looking', 'screen', 'nice', 'perfect', 'balance', 'price', 'capability', 'need', 'come', 'window', 'changed', 'regular', 'window', 'home', 'choose', 'NOT_want', 'limited', 'dealing', 'm']",3
108,"['price', 'point', 'basic', 'laptop', 'NOT_touch', 'screen', 'im', 'NOT_sure', 'laptop', 'appears', 'part', 'search', 'touch', 'screen', 'listed', 'option', 'rated', 'thing', 'like']",3
151,"['pretty', 'lightweight', 'boot', 'fast', 'screen', 'look', 'good', 'NOT_try', 'much', 'freeze', 'several', 'instance', 'im', 'watching', 'youtube', 'screen', 'freeze', 'attempt', 'recover', 'functionality', 'laptop', 'either', 'impossible', 'take', 'long', 'amount', 'patience', 'rebooted', 'computer', 'mentioned', 'boot', 'nice', 'fast', 'reason', 'appreciate', 'past', 'hour', 'time', 'writing', 'review', 'reboot', 'thing', 'twice', 'froze', 'chrome', 'youtube', 'video', 'tab', 'open', 'well', 'one', 'streaming', 'video', 'NOT_substantial', 'workload', 'freezing', 'consistently', 'especially', 'since', 'thing', 'brand', 'new']",3
154,"['great', 'success', 'acer', 'past', 'first', 'subpar', 'experience', 'laptop', 'screen', 'shortage', 'box', 'justify', 'new', 'replacement', 'made', 'send', 'back', 'repair', 'NOT_received', 'back', 'yet', 'jury']",3
158,"['laptop', 'use', 'house', 'exactly', 'day', 'stationary', 'location', 'fairly', 'light', 'google', 'classroom', 'google', 'doc', 'youtube', 'netflix', 'workload', 'immediately', 'upgraded', 'gb', 'ram', 'installed', 'autodesk', 'inventor', 'also', 'ran', 'superbly', 'couple', 'time', 'used', 'far', 'yesterday', 'non', 'responsive', 'NOT_power', 'light', 'NOT_sign', 'life', 'whatsoever', 'put', 'meter', 'powersupply', 'read', 'volt', 'close', 'enough', 'spec', 'laptop', 'still', 'non', 'responsive', 'gb', 'dimm', 'getting', 'ready', 'swap', 'back', 'return', 'amazon', 'extended', 'covid', 'return', 'window', 'year', 'old', 'chagrin', 'said', 'NOT_you', 'think', 'disconnect', 'battery', 'make', 'sure', 'reset', 'defense', 'long', 'time', 'since', 'ive', 'encountered', 'system', 'long', 'hold', 'power', 'button', 'NOT_an', 'effective', 'power', 'disconnect', 'skepticism', 'pulled', 'powerplug', 'battery', 'seems', 'fixed']",3
164,"['NOT_expect', 'much', 'laptop', 'considering', 'price', 'would', 'unrealistic', 'one', 'criterion', 'make', 'final', 'decision', 'buying', 'particular', 'item', 'battery', 'life', 'promised', 'least', 'hr', 'wire', 'ok', 'beginning', 'would', 'stay', 'hr', 'checked', 'month', 'passed', 'barely', 'stay', 'hr', 'le', 'also', 'laptop', 'bottom', 'part', 'upper', 'middle', 'heat', 'much', 'guess', 'battery', 'located']",3
