,comment,stars
18,"['update', 'computer', 'fried', 'simply', 'boot', 'anymore', 'update', 'volume', 'stopped', 'working', 'year', 'later', 'big', 'red', 'volume', 'icon', 'troubleshoot', 'issue', 'say', 'fixed', 'online', 'video', 'stop', 'loading', 'either', 'watch', 'video', 'without', 'sound', 'not', 'watch', 'called', 'acer', 'customer', 'service', 'receive', 'robot', 'voice', 'describing', 'special', 'offer', 'product', 'may', 'like', 'purchase', 'decline', 'offer', 'going', 'buy', 'another', 'one', 'product', 'ever', 'disconnect', 'line', 'buyer', 'beware', 'far', 'returned', 'product', 'already', 'faulty', 'technology', 'experiencing', 'similar', 'issue', 'year', 'later', 'warranty', 'expired', 'go', 'figure']",2
34,"['using', 'acer', 'laptop', 'decade', 'fact', 'still', 'using', 'acer', 'laptop', 'year', 'old', 'acer', 'build', 'great', 'laptop', 'rate', 'acer', 'two', 'star', 'acer', 'boxed', 'window', 'worst', 'operating', 'system', 'planet', 'win', 'plagued', 'security', 'issue', 'every', 'update', 'microsoft', 'grossly', 'overpaid', 'geek', 'seem', 'remedy', 'situation', 'decided', 'switch', 'window', 'running', 'acer', 'fine', 'even', 'dumping', 'window', 'altogether', 'installing', 'linux', 'second', 'operating', 'system', 'dual', 'boot', 'configuration']",2
44,"['result', 'shelter', 'place', 'initiative', 'bought', 'two', 'laptop', 'march', 'kid', 'use', 'part', 'virtual', 'education', 'zoom', 'regular', 'need', 'removed', 'window', 'installed', 'chrome', 'internet', 'browser', 'followed', 'window', 'o', 'update', 'everything', 'humming', 'along']",2
52,"['initially', 'loved', 'laptop', 'would', 'give', 'star', 'maybe', 'price', 'start', 'immediately', 'no', 'wait', 'time', 'super', 'fast', 'response', 'web', 'browsing', 'gripe', 'sound', 'awful', 'mean', 'bad', 'barely', 'hear', 'anything', 'time', 'worse', 'searching', 'enhancement', 'equalization', 'control', 'finding', 'none', 'wasted', 'minute', 'waiting', 'acer', 'tech', 'support', 'find', 'updated', 'version', 'window', 'no', 'longer', 'offer', 'enhancement', 'equalization', 'feature', 'techie', 'tell', 'first', 'speaker', 'watt', 'corrected', 'said', 'speaker', 'two', 'watt', 'want', 'purchase', 'external', 'speaker', 'keep', 'hooked', 'tv', 'use', 'ear', 'plug', 'time', 'maybe', 'computer', 'otherwise', 'computer', 'good', 'totally', 'deaf', 'cheap', 'phone', 'better', 'speaker', 'thing', 'not', 'even', 'talking', 'sound', 'quality', 'mean', 'hearing', 'general', 'come', 'acer', 'totally', 'blow', 'speaker', 'barely', 'speak']",2
60,"['laptop', 'received', 'review', 'opened', 'prior', 'actually', 'opening', 'not', 'know', 'return', 'something', 'tested', 'anyways', 'based', 'normal', 'use', 'say', 'ok', 'exception', 'weird', 'glitching', 'laptop', 'screen', 'momentarily', 'turn', 'black', 'happened', 'around', 'three', 'time', 'already', 'using', 'browsing', 'video', 'watching', 'couple', 'day', 'use', 'already', 'happening', 'something', 'wrong', 'no', 'techie', 'know', 'usual', 'troubleshooting', 'turn', 'fix', 'problem', 'beside', 'screen', 'really', 'nice', 'look', 'bezel', 'thin', 'make', 'viewing', 'show', 'wonderful', 'screen', 'matte', 'glassy', 'find', 'prefer', 'compared', 'glossy', 'screen', 'asus', 'performs', 'way', 'better', 'acer', 'one', 'without', 'question', 'since', 'mine', 'super', 'expensive', 'keyboard', 'easy', 'type', 'layout', 'useful', 'enough', 'space', 'put', 'full', 'number', 'pad', 'right', 'power', 'button', 'threw', 'side', 'laptop', 'found', 'keyboard', 'upper', 'right', 'lasting', 'capability', 'around', 'hour', 'continuous', 'usage', 'battery', 'life', 'really', 'dependent', 'individual']",2
90,"['window', 'hate', 'registered', 'laptop', 'thru', 'm', 'turned', 'mode', 'feature', 'laptop', 'prefer', 'firefox', 'chrome', 'browser', 'not', 'edge', 'monitor', 'good', 'picture', 'quality', 'horrible', 'sound', 'quality', 'no', 'sd', 'card', 'reader', 'dvd', 'cd', 'burner', 'buy', 'external', 'unit', 'laptop', 'acer', 'deleted', 'dvd', 'cd', 'burner', 'unit', 'device', 'beyond', 'since', 'rather', 'thin', 'nature', 'laptop', 'anyways', 'lit', 'keyboard', 'stay', 'lit', 'maybe', 'second', 'interesting', 'feature', 'wished', 'stayed', 'lit', 'time', 'need', 'least', 'usb', 'port', 'gb', 'solid', 'state', 'hd', 'make', 'speedy', 'power', 'gb', 'memory', 'order', 'gb', 'memory', 'device', 'disgusting', 'called', 'new', 'laptop', 'acer', 'nd', 'hard', 'drive', 'slot', 'small', 'shallow', 'fit', 'laptop', 'mechanical', 'solid', 'state', 'hard', 'drive', 'contact', 'laptop', 'nd', 'hard', 'drive', 'not', 'meet', 'thus', 'not', 'install', 'nd', 'hard', 'drive', 'device', 'use', 'external', 'hard', 'drive', 'via', 'one', 'usb', 'port', 'put', 'music', 'video', 'since', 'built', 'hard', 'drive', 'thing', 'gb', 'also', 'use', 'another', 'usb', 'port', 'external', 'digital', 'camera', 'card', 'reader', 'order', 'well', 'course', 'use', 'external', 'mouse', 'meaning', 'used', 'third', 'final', 'usb', 'port', 'laptop', 'not', 'sure', 'acer', 'hp', 'brand', 'add', 'usb', 'port', 'lower', 'priced', 'laptop', 'not', 'cost', 'add', 'usb', 'port', 'even', 'slower', 'usb', 'port']",2
91,"['bought', 'laptop', 'use', 'learn', 'code', 'go', 'quality', 'mouse', 'pad', 'poor', 'going', 'return', 'coding', 'frequently', 'move', 'mouse', 'highlight', 'specific', 'piece', 'text', 'sort', 'edit', 'code', 'unfortunately', 'mousepad', 'laptop', 'not', 'accurate', 'precise', 'trying', 'make', 'fine', 'movement', 'mousepad', 'mouse', 'move', 'small', 'skip', 'instead', 'smooth', 'consistent', 'glide', 'make', 'impossible', 'move', 'mouse', 'quickly', 'precisely', 'trying', 'execute', 'precise', 'movement', 'slow', 'course', 'correct', 'several', 'time', 'get', 'mouse', 'close', 'want', 'go', 'instead', 'able', 'quickly', 'move', 'mouse', 'precise', 'location', 'intend', 'lack', 'precision', 'frustrating', 'make', 'user', 'experience', 'slow', 'going', 'return', 'purchase', 'laptop', 'least', 'year', 'consistent', 'use', 'want', 'endure', 'kind', 'frustration', 'every', 'single', 'day', 'trying', 'give', 'attention', 'towards', 'building', 'technical', 'skill', 'appreciate', 'speed', 'accuracy', 'mousepad', 'like', 'mac', 'laptop', 'ever', 'used', 'one', 'nothing', 'crazy', 'smooth', 'controllable', 'motion', 'follows', 'input', 'perfectly', 'would', 'advise', 'not', 'get', 'laptop', 'think', 'could', 'frustrated', 'user', 'experience', 'final', 'note', 'laptop', 'also', 'issue', 'running', 'ubuntu', 'whenever', 'closed', 'lid', 'laptop', 'would', 'suspend', 'totally', 'expected', 'suspend', 'mean', 'sleep', 'linux', 'whenever', 'reopened', 'lid', 'laptop', 'would', 'not', 'resume', 'turn', 'back', 'would', 'force', 'shut', 'restart', 'every', 'single', 'time', 'could', 'not', 'find', 'solution', 'issue', 'scouring', 'internet', 'trying', 'bunch', 'different', 'fix', 'hour', 'linux', 'distribution', 'small', 'issue', 'certain', 'laptop', 'whatever', 'reason', 'ubuntu', 'laptop', 'not', 'work', 'well', 'together', 'issue', 'also', 'frustrating', 'made', 'diminished', 'user', 'experience', 'although', 'may', 'able', 'find', 'another', 'distribution', 'would', 'worked', 'laptop', 'reason', 'much', 'mainly', 'first', 'reason', 'mousepad', 'returning', 'laptop', 'want', 'deal', 'issue', 'like', 'year', 'rather', 'spend', 'little', 'money', 'hope', 'helpful']",2
114,"['initially', 'set', 'everything', 'pretty', 'pleased', 'purchase', 'little', 'month', 'really', 'used', 'time', 'month', 'screen', 'went', 'black', 'back', 'light', 'keyboard', 'still', 'figured', 'needed', 'charged', 'left', 'plugged', 'hour', 'checked', 'still', 'lit', 'key', 'no', 'screen', 'changed', 'different', 'outlet', 'left', 'charge', 'came', 'back', 'thing', 'tried', 'following', 'support', 'suggestion', 'resetting', 'battery', 'using', 'tiny', 'button', 'back', 'made', 'no', 'difference', 'never', 'took', 'mode', 'never', 'even', 'downloaded', 'apps', 'installed', 'program', 'basically', 'checked', 'email', 'time', 'plug', 'nothing', 'light', 'adapter', 'charger', 'indicator', 'light', 'show', 'working', 'could', 'faulty', 'power', 'cord', 'going', 'attempt', 'call', 'customer', 'support', 'line', 'see', 'provide', 'answer', 'case', 'brand', 'new', 'device', 'last', 'longer', 'month']",2
129,"['not', 'sure', 'whether', 'mine', 'defective', 'basic', 'desktop', 'activity', 'internet', 'browsing', 'fine', 'start', 'watching', 'video', 'example', 'fan', 'kick', 'pretty', 'loud', 'loaded', 'league', 'legend', 'lowest', 'setting', 'minute', 'match', 'whole', 'thing', 'shuts', 'consistent', 'behavior', 'happens', 'time']",2
148,"['bought', 'december', 'computer', 'may', 'month', 'later', 'no', 'longer', 'hold', 'charge', 'ordered', 'new', 'charger', 'see', 'problem', 'see', 'review', 'made', 'think', 'great', 'value', 'socket', 'item', 'not', 'wiggly', 'anything', 'computer', 'no', 'longer', 'charge']",2
