comment,stars,verified,date,country,helpful,has-media
We now have three of these devices in our home to help save on our cable bill. We use them for the spectrum app and they work great! Very easy to set up. A word to the wise - I read a couple of reviews about an activation fee. I set two of these up today and there is no activation fee!! If you are being asked to pay a fee you are in the wrong place!  Do not google the set up website - type in the address as it is when prompted on the screen and you will be fine.,5,1,2019-11-1,1,1,0
"I finally decided to buy one to help keep my TV relevant. Most of the apps from my 2011 model TV don't work anymore and was limited in functionality. I wish I bought one of these years ago though. Now, reading through previous comments, there is someone who gave 2 stars and complained about being single banded WiFi. This guy doesn't pay attention to what hes looking at. Yes, this is clearly stated that it only uses 2.4GHz band. No, they didn't go backwards in any form with this. With a quick search, and all Roku Expresses, which is what this is, have been single band. And 2.4GHz is fine when only going 1080p for HD.Now about using it. Setting everything up doesn't take long, around 10-15 minutes. Once you have it set up, it's eay to use to get on Netflix, or Amazon Prime to watch your favorite shows. You can also download some other apps to get some free TV to you flip through another couple hundred channels and complain about there is nothing to watch, because we all know we do that. When watching something, the picture does take a minute to download, buffer, and catch up, so the first little bit may be a bit blurry, but it evens out. There is also the Roku app for your phone, and this adds some ease of use. Instead of using the remote to attempt to hit the sensor on the device, you can connect to the Roku on your phone as long as they are on the same WiFi network.",5,1,2019-10-16,1,5,0
"I had to return it today though I only had it for 1 day or so. Reason: There's activation fee of $100, which was not specified on the webpage when I made the purchase. Based on the description on the webpage, I was under the impression that I just have to pay for the device & get all the free channels I want. It described that I only have to pay for the channels that were not free. However, when I finally got a chance to install the device on my TV & tried to activate it using the code on the TV screen, it told me that it failed. I called the support phone# & was told by someone with heavy accent who rudely rambled on & on about all kinds of benefits of activating the device WITHOUT giving me a chance to talk. After he was done advertising for his company's product, he finally said it would cost me $100 to create an account in order to activate it. He told me also before I hung up the phone that if I decide to pay to create an account, I'd have to call Monday (it was Saturday when I called). This might have been a good product, but the company should've made buyers aware upfront of the activation fee. In all, I was totally disappointed.",1,1,2019-10-26,1,4,0
"Overall, was I eventually moderately satisfied. The initial setup was a breeze. However, I got a rude shock when the video from a lot of channels wouldn't stream - instead of video, I got only sound and error code 020. (Of note, I was trying to run our Roku through an HDMI signal switch.)As it turns out, a lot of HDMI signal switches/splitters sold on Amazon are NOT HDCP compatible. (HDCP is a form of digital copy protection; I only learned about this when trying to troubleshoot this Roku). A lot of channels available on the Roku use HDCP. So, as a result, content from those channels could not be streamed from the Roku to our TV through our HDMI switch/splitter. It took some Googling to figure this out - the Roku support article regarding HDCP error messages mostly discussed unplugging and replugging things, and turning things on and off again. It did not mention HDMI signal switch/splitter incompatibility. I would have been up and running more quickly, and ultimately more satisfied, if that had been the case.",4,1,2019-10-16,1,3,0
"I bought this Roku to expand into a fourth room, and I was happy to see that it was offered at a fraction of the cost of my other Roku models. Of course, this bare-boned unit asks for you to sacrifice some of the options on the more expensive units, such as a TV on/off button, volume control, and an earphone plug-in on the remote. All of these minor issues are easily solved by using both the Roku and the TV remotes or by employing the free Roku mobile app for iOS or Android.A major issue for some consumers might be the 2.4 GHz wireless connection. After several days of use, we have seen no issues. Streaming has been perfect, no lagging or interruptions, and load time seems no longer than any of the other Roku units we own.",5,1,2019-10-19,1,2,0
Why have they gone backwards from a few years ago and are producing new devices (this is not the first so be  careful) that support only the oldest 2.4 ghz wireless band.  They talk about high speed streaming needing a strong wifi network and internet connection but limit you to the slowest option on your modern router.  My Roku 2 second gen devices from 4 years ago do only support wireless N but they do so on both the 2.4 and 5.0 wireless bands.  This makes a big speed difference on any network but if you happen to live in a populated area it makes a HUGE difference.,2,0,2019-10-11,1,2,0
"Roku Express 2019 does not work if the tv is not connected to your xfinity wifi. You canNOT take this out of town & watch your recorded shows on a tv. You’re stuck with using xfinity app on your phone or tablet & watching on those small screens.Oh, and I read an online corporate statement and it does not even specify that the tv has to be on their wifi in your home. With further searching, I did find the exclusion",1,1,2019-11-11,1,1,1
"Bought to use with Xfinity ""Beta"" app.  This app is little awkward -  you can't switch channels by going Channel up or down, the interface (with 2.4 Ghz  ) is slow and unwieldy.Picture quality was OK, but definitely not better than the latest Comcast box.",3,1,2020-4-19,1,2,0
POOR CUSTOMER SERVICE. ROKU DOESN'T ANSWER THEIR PHONES. IT WAS NOT AN EASY SET UP.  COULDN'T GET ASSISTANCE TO SET UP SO IT WAS RETURNED.,1,1,2019-10-16,1,1,0
"This is my 5th Roku and it works just as good as the rest.  Don't be scared off by the 2.4 GHz wireless connection, I'm watching YouTube TV at full 1080p with plenty of speed left over.  Unless your network has a history of problems with 2.4 GHz connections, or you require 4K UHD quality, this is a great device that can be powered by your TV's USB port.",5,1,2019-10-15,1,1,0
"I have been working on overtime, a 2nd job and my damn nerves,  to do what??? Spend all my money on cable and diet water??? Not anymore!!! I decided to invest in a Roku to alleviate half of my stress! I had no idea the number of free channels at my disposal. And they are full of shows that I will actually watch and like!!! I am actually glad to come home to my spinster life of watching tv with my pets and practicing Spam Sculpture Art. I have watched classic tv shows and new and fresh ones now. Grab one while the prices are low!!",5,1,2019-10-28,1,6,0
"Installing this new 2019 version of the Roku streaming ""box,"" it messed up my TV, my cable and my head.  There was no telephone or online support for the problems I was contending with, only a disembodied voice when I called that said there were videos available online.  I looked at them but they did not help.  Fortunately, my friendly local cable company came to the rescue and explained how the system could work, making it a very pesky operation.Had I known there was no support, I would not have purchased this item and will probably look for a product from a different manufacturer given my feelings about Roku.",1,1,2019-10-14,1,6,0
"Great product for $24!  Does everything I need it to do..well hope it will.  I got it so I could watch Disney Plus on it when it is released.  Haven't seen the app for it yet, but it may not have dropped.  I'm sure it will.I gave it only 4 stars instead of 5 because it can't see my 5ghz signal from my router when the firestick sitting underneath it has no issues.  As of this writing the 2.4ghz hotspot it did find works okay but I'm worried I may not get the great quality I'm expecting.  I'm going to monitor this for a couple of weeks and report back.  But as of now, it's running well and was pretty easy to set up.  Not sure if there is a way to hook a wireless keyboard up to it or not, but that would have made adding all my streaming media accounts so much easier.",4,1,2019-11-5,1,2,0
"So far so good. The install was pretty straightforward,  I purchased two of these so I could stream Disney +. Unfortunately, the Amazon Fire Stick does not support Disney+. The Mandalorian- All of the Disney Classics, All of the Franchise films LucasFilm, Marvel, etc.  Amazon is loosing out here. Too bad. The Roku device, for the price is a very reasonable way to access the Disney+ content without fiddling around with another streaming subscription/ other that the Disney+ subscription of course.",5,1,2019-11-1,1,3,0
"I bought one of these devices for the simple reason of wanting to view Netflix and Amazon Prime on my television rather than being limited to my phone and Ipad.  I barely had it a few days before I was asking myself why I hadn't got one months, or years, earlier.  I had no idea of the existence of 'free' television services (Stirr, Pluto TV and more) that were available on this device in addition to those I had subscribed to.  It wasn't long after my first Roku purchase that I got 3 more Roku's for the other televisions in my home and ditched cable after 25+ years.  Between 'renting' our four cable boxes, paying for service, and paying a 8.95 a month FCC fee, our cable service through Spectrum was costing us about $160.00 a month. We no longer get local channels but can pick up one of our local news station broadcasts through a Stirr channel.  If you are not a big tv watcher at all or are the type who typically doesn't watch the newer shows on the big 3 channels (ABC, NBC, and CBS) then Roku in lieu of cable might be for you.  On another note, I'm the type that doesn't care at all for the Alexis/Google/voice command equipment, so if you can relate Roku is the standard, push button device that doesn't listen to you, though you can buy additional equipment to make it happen if that's the route you prefer.'",5,1,2020-5-13,1,1,0
"I have a new-ish TV and a subscription to Netflix, but until I got this Roku I could only watch Netflix on my laptop. This Roku was very affordable and I'm happy with the results. The high-def picture quality is very good, and the remote is responsive and easy to use. Set-up was easy too.I have one major complaint, which is that Roku requires you to give them your credit card along with other personal information. It's part of the setup process and as far as I could tell there's no way to get to use it without setting up an account and giving them this info. I don't plan to buy any movies or subscriptions through Roku, just stream Netflix, so I don't expect them to ever charge my card. I hated going through all that registration and being forced to give the company that info. But I'm still giving it 4 stars because I've done some research and it's clear to me that there's no better option -- the alternatives from Google, Amazon, and Apple are as intrusive if not more; all things considered, this Roku is as simple, practical, and user-friendly as you'll get, so I recommend it.",4,1,2020-5-20,1,1,0
"We have one of these in another room (an upgrade from an older model) and installation  was a breeze.  Great picture  quality.  My only complaint is the remote .  It sucks.We just bought a second one for another room, also to replace an older model.  It will connect to our WiFi network, but not to the Internet.  We’ve rebooted our router. We have a WiFi extender in the room. We’ve unplugged the Roku device, plugged it back up repeatedly, and it still won’t connect to the Internet.  The only troubleshooting advice I could find online was “contact your ISP” with nothing on screen to enable us to do that.  This makes no sense.  I may try calling them anyway, but it’s completely illogical.",1,1,2020-6-23,1,1,0
"I was extremely disappointed when after starting up Roku the code didn't go through gave me a number to call the person on the other side I could hardly understand about 20 other people talking in the background, all in all at the end of conversation I was asked to pay $100. for five years or $150. for forever. Roku never ask for any information or payment to them. Please Beware from this product!!!!",1,1,2019-11-19,1,1,0
"Don't know how many people are like me. Finally had to replace my 1st generation Roku 2100X box that just kept chugging away until it stopped loading Amazon Prime. For $30.00 I figured I couldn't go wrong. First impression, I was right. Since I already had a Roku box attached to my TV, it was super easy to unplug the old one and plug in the new one. The ""box"" itself is super small. Luckily they include a double sided sticky strip that holds the device in place. Set up was also very easy. It automatically detected the Wi-Fi and then it walks you through all the steps on your TV screen. Adding channels also really easy. The interface is very different from the old version. But since I'm the last guy on the block to get to the party, this is obviously the new look. I don't need a lot of bells and whistles - just something that will do the job of streaming the channels I actually watch. So far, this is a winner.",5,1,2019-11-1,1,1,0
"The product description says ""Low cost, no extra fees: ... and there’s no monthly equipment fee""  But the activation website requires the user to divulge credit card and personal information and will not activate the device without it.  Scammers may ask for activation fees, but this demand for personal information is not from a scammer, it is on the legitimate Roku activation page.  There is no legitimate reason to demand payment info up front rather than when the user subscribes to paid content, which gives the impression that it being gathered for illegitimate reasons such selling Personally Identifiable Information to other companies.I have two other Roku devices and neither of them required a credit card; I'm returning this one for a refund.",1,1,2019-11-21,1,8,0
"Bought this to stream Amazon prime videos but unfortunately never used it because of the unreasonable (my opinion) set up data requirements.  Connection to my TV and WiFi network was easy. The unit powered up and the ""set up"" menu appeared as expected. The menu directs you to login to the Roku web site with a second device to activate your unit. The Roku site requires you set up a Roku account to activate your unit.This is where I ran into my issue with the device. To set up an account you MUST enter your name, your address, your gender, your date of birth and your credit card information. Gender, address and birthday info is irrelevant and none of their bloody business as far as I'm concerned. Credit card information is also irrelevant if I only use the free streaming videos.",1,1,2020-1-23,1,7,0
"I purchased the Roku Express after hours of research on streaming products. I know streaming is old but it is new to me.  This is the first time that I have purchased a streaming device.First, I want to say the set up is quick and easy. I am not a computer geek however this took no time to complete. It included everything that I needed to set up.  All I did was connect the cables and plugin.",5,1,2020-5-27,1,5,0
"I cut the cable cord quite some time ago and have used Chromecast to cast movies I have on a two terrabyte external drive to my television via my laptop, but for watching regular shows, I have Youtube TV which has my local stations plus many others including USA, TNT and others so with the Roku, I can watch shows as we ""used to"" many years ago before cable or I can watch the alternate channels like AMC or USA without being tethered to or paying for cable.  I really enjoy Roku for the flexibility it allows - I would highly recommend it to anyone wanting to dump cable.  You do need an internet connection, but that's it.  Oh, the title refers to the fact that my order was due one day and it took two days to get to me.  Not a big deal, but hey...I was waiting for it!",5,1,2019-11-1,1,6,0
"Initial impressions (which I will update after using the device for a few weeks)Yes, it was easy to hook into my TV.",4,1,2019-11-2,1,4,0
This is completely useless. I have it directly above my wifi extender. It''s not more than a foot and a half away from it and I can't keep this thing connected. I can't sign into any of my streaming channels because after I am done entering my information it has a network connection error. The wifi card in this thing must be an absolute piece of garbage. This is such a waste of money. I didn't want a stick because a use an HDMI splitter and you can't use a stick and plug in anything else. I have spent  hours trying to get any of my channels connected and You tube is the only one I got connected to and the network disconnects when you select a video. So it is basically a puck.,1,1,2019-11-16,1,3,0
I cut the cord and have 3 different Roku players in my house - I love them allThere are a lot of FREE apps you can use with the ROKU,5,1,2019-10-30,1,1,0
I have been using Roku devices 2013 I remember when I first got Roku 1... I canceled my cable 5 days later. Then I brought another Roku for the second TV in the bedroom. Here it is 2020 and I had to update my Roku. so I bought this one hooked it up to my TV it was so simple and it updates on its own when new content becomes available on Roku. I don't know what else to say that this has everything that I need I no longer need cable TV I do not miss it since I got my Roku back in 2013. I am a huge Roku believer I should be working for them as much as I turn people on to them over the last 7 years. If you are tired of buying DVDs save your money because it's probably here on Roku they all Lotto apps where you can rent movies for under $3 and watch them on your TV. I paid about $24 for this Roku. If you are tired of paying high cable bills get a streaming device from Roku they have several to choose from this one is an entry-level it was enough for me.,5,1,2020-7-5,1,1,0
First and last one I buy. First thing is it has no OFF button so the unit stays warm all the time which can’t be good on longevity. Also eats data compared to other devices. It is easy setup but it freezes up a lot and you have to unplug it to start over and it doesn’t save what your watching to the correct spot. I have very fast WiFi for other devices and it still freezes with everything else turned off. I would guess a software problem.,1,1,2020-1-11,1,3,0
"I bought this device to add to an older Sony Bravia TV that's attached to Xfinity. Setup was easy (I'm moderately tech-savvy), but it was all downhill from there. I got the Roku home screen, but it was very dark and colorless. I searched Google for a remedy: I had to go to anything streaming (any Netflix show, Sling, whatever), push the Options button, go to Picture Mode and adjust from there. Simple enough (though the Roku help site didn't tell me this); except it didn't work. Options gave me only two options, neither of which was helpful. I know more options should be available, because I have a Roku TV with lots of options. I called customer service, which told me that, because of the pandemic (it's June 2020), they have no live help. But I see from other reviews that they had no live help before the pandemic (Oct. 2019) either. I am sending this thing back, and am very disappointed in what I expected to be a great product.",1,1,2020-6-22,1,1,0
This product gives me more channels than I ever expected. I can even watch sports and the news and many movies  including oldies without cable. It is an excellent device. I have never owned one before or anything comprable. It gives excellent quality picture and sound. My televisions volume was very poor because when I worked out I had to turn it all the way up to the top level. With this roku I have to turn it down very low because the volume is amplified.All I can say is it's an product for the money well-worth the very small investment. I got the brand new one hot off the press. I did not want the Alexa with it. But it does come with one. This is such a great item that I am going to buy one for my entire family.,5,1,2019-10-28,1,2,0
