comment,stars,verified,date,country,helpful,has-media
"This cable looked great and worked great, right up until the point it tried to burn my house down. I noticed my iPhone was getting a bit warm where the cable connects to the lightning jack. So I unplugged it thinking it was just a glitch in the iphone’s charging system. I left the cable on the floor.When I came from work 8 hours later, I found the melted blob pictured. I have no doubt that if I had left the cable on a flammable surface it would have started a fire.",1,1,2018-6-11,1,2,1
"Was great. Then it wasn't. 3 months later, it stopped charging. No kinks, no tears. Still in mint condition, but won't charge. I have original apple cords that are fraying that I've taped up with electrical tape that still work 2 years later.So frustrated with these cords. I thought if I spent more it would last longer. Bought 2 and both are broken. Maybe if I collect enough of them I can macrame a plant hanger with them.",1,1,2017-11-17,1,1,1
I ordered this because the info indicated that this is an Apple Certified product. After 2 weeks of intermittent use (on a table in my living room) I got the dreaded “this accessory may not be supported” pop up. No worries... ish happens and I requested a replacement.  Received that today and I am getting the same pop up with the new cable. No other cable (both Apple and certified products) are doing this.  Add to this the fact that now I can only get an Amazon gift card as a refund.,1,1,2017-9-19,1,7,1
"I was very pleased with the quality of the product as I received it.  But after about one week of charging it became intermittent for a couple of days and then stopped working.  I think it is important to point out that this cord is in one location, I sit my phone on a table surface and let it charge all night.  So no moving, no using it while connected or such.  I also an not the type of person that unplugs it by pulling on the cored or such.  This just proved to me that they cord was either defective as received or poor quality (or maybe a combo of both).  Now it is much cheaper than an APPLE cord, but I would expect more.  Wish it would have done better....I had I hopes being an Amazon product!",1,1,2017-9-16,1,3,0
"Buyers beware! I had this cable for 5 days, last night phone was plugged in and I started to smell something like a burning plastic smell. I went to unplug the phone and the cable was EXTREMLY hot , hot enough to burn your hand when touching. When I went to unplug the cable from the phone I also received a shock from the end of the cable. Not suppose to happen!!",1,1,2017-5-31,1,8,0
"I needed a new lighting cord, especially a longer one (6 feet) so I bought this one in thoughts that the Nylon will make it last longer since that's the idea with nylon braided cables. At first sight and opening the package, it was seemed like it was good quality and it seemed like it was going to be promising but it actually doesn't work. I've plugged it into my charging block which came with my iPad and left it for an hour and when it was time to get up and go, I realized it only charged a couple percentages. Not too long after, it wouldn't even charge, nor would my phone even recognize that it was plugged in. I've used the regular iPhone charging block and nothing happened. I had to go back to using my old frayed cable for the mean time. I guess I just received a defective one?",1,1,2017-6-24,1,2,0
"I had high hopes for this lightning cable as the majority of the reviews were positive and mentioned that it didn't end up fraying after a short amount of time until it just stopped working or became unsafe to use. I use it with no problems for about 3 weeks, and then it started getting kind of temperamental about how the cable had to be positioned which made for some interesting solutions for charging my phone. Still, there was no obvious damage or fraying and the cord looked to be fine, so I continued to use it even if it was slightly annoying to sometimes have to spend some time finding the right position for the cable in order to charge my phone.About 3 1/2 weeks ago, I started noticing some obvious fraying of the braided cord near where it plugs into the iPhone and it inevitably became too temperamental to even bother using it to charge at all. I've now switched back to an Amazon Basics lightning cable and am hoping that one lasts longer than this one did.",2,1,2017-5-4,1,6,0
I am very disappointed with this purchase. I bought AmazonBasics chargers for each of my family members in December and in March several of the chargers have stopped working are are not recognized by any of our numerous Apple devices. It's not an overuse issue as the one charger just sits in my office at work rarely used.,1,1,2017-4-3,1,3,0
I was hesitant to buy this product but am quite pleased with it so far.Pros:,5,1,2018-1-13,1,6,0
"I've bought a few of these and each one is terrible. The problem is that they don't attach securely. Looking at them it is not possible for me to see the difference, but it's there and I regret buying them at any price. I have a few Anker cables and those are much better",1,1,2017-8-18,1,8,0
"I purchased this cord mid-January of 2019. It’s now the beginning of April, 2019, and it won’t charge my phone unless I hold it a certain way.There’s no visible wear and tear on the cord itself... It still looks brand new.",2,1,2019-4-13,1,1,0
"I purchased this charging cord right after my original Apple charger had broke.  I had gone with Amazonbasics, as they had always been a good brand with solid products, but this products is NOT the case.  The first time I purchased this, the cord did not work when i plugged it in. NOT at all.  It would not even charge my phone a bit. So, still with a bit of hope, I returned the cord for a replacement, And when my replacement came, it worked pretty good for a while, but only a month after I purchased the same cord a second time, it broke on em and stopped working COMPLETELY. I plan to return this product immediately to get my money back and to buy a charger DIRECTLY from Apples website.  DO NOT buy this cheap, knock off, TERRIBLE charger.  Just go buy the original charger from Apple.",1,1,2019-10-8,1,2,0
